Generation,TrainingAcc
0,0.462076
1,0.378743
2,0.35479
3,0.483533
4,0.48004
5,0.50998
6,0.352295
7,0.352295
8,0.352295
9,0.484032
10,0.48004
11,0.48004
12,0.530938
13,0.353792
14,0.352295
15,0.352295
16,0.352295
17,0.469062
18,0.468563
19,0.540419
20,0.352295
21,0.460579
22,0.352295
23,0.360778
24,0.361277
25,0.352295
26,0.352295
27,0.352295
28,0.352295
29,0.439621
30,0.355788
31,0.352794
32,0.481038
33,0.414172
34,0.48004
35,0.352295
36,0.352295
37,0.371756
38,0.352295
39,0.352295
40,0.352295
41,0.387725
42,0.352295
43,0.352295
44,0.355289
45,0.461577
46,0.564371
47,0.481038
48,0.464072
49,0.582834
